pregunta,opcion1,opcion2,opcion3,opcion4,mensaje,correcta
"¿Cuántas zonas horarias tiene en Rusia?","11","8","12","5","Rusia cuenta con 11 zonas horarias.","1"
"¿Cuál es la flor nacional de Japón?","Flor de Cerezo","Rosa","Flor del Loto","Lirio amarillo","Azalea", "Es la Flor de Cerezo.","1"
"¿Cuántas franjas tiene la bandera de Estados Unidos?","12","10","8","13","Cuenta con 13 Franjas". ","4"
"¿Cuál es el animal nacional de Australia?","Rinoceronte","Canguro","Leopardo","Cocodrillo","Es el Canguro.","2"
"¿Cuántos días le toma a la tierra dar una vuelta a la órbita del sol?","365","363","360","370","Le toma 365 días.","1"
"¿Cuál de los siguientes imperios no tenía un idioma escrito?","Egipcios","Aztecas","Inca","Romanos","Los Incas.","3"
"¿Qué país tiene la mayor cantidad de islas en el mundo? ","Chile","Argentina","España","Rusia","Suecia, ¡más de 220,000!.","4"
"¿Cuál es el país más pequeño del mundo?","México","El Vaticano","Inglaterra","Tailandia","Es el Vaticano.","2"
"¿Cuál es el río más largo del mundo?","Yangtsé","Río Nilo","Amazonas","Río Misisipi","Amazonas con 7.062 km.","3"
"¿Cuándo se inauguró el metro de Londres?","1795","1850","1863","1902","En 1963.","3"
"¿Quién inventó la World Wide Web, y cuándo?","Tim Berners-Lee, 1990","Elon Musk, 2002","Bill Gates, 1998","Mark Zuckerberg, 2003","Fue Tim Berners-Lee en 1990.","1"
"¿Cuántas teclas tiene un piano?","78","66","88","84","tiene 88 en total.","3"
"¿En qué año se fundó Netflix?","2007","1995","1997","2009","Fue el 29 de agosto de 1997, en la ciudad de Scotts Valley.","3"
"¿Cuál es el océano más grande?","Océano Pacífico","Océano Atlántico","Océano Índico","Océano Ártico","El Océano Pacífico, con una superficie total de 165.700.000 km²..","1"
" ¿En qué año comenzó la II Guerra Mundial?","1930","1943","1950","1939","Este famoso conflicto bélico se inició en 1939.","4"
"¿Cuál es tercer planeta en el sistema solar?","Saturno","Urano","La Tierra","Venus","Dentro del sistema solar, el planeta que ocupa el tercer puesto en cuanto a la distancia del sol es la Tierra.","2"
"¿Cual es país más poblado de la Tierra?","Argentina","Estados Unidos","China","Colombia","El país más poblado de la Tierra es China con 1.383.488.571 de habitantes.","3"
"¿Cuántas patas tiene la araña?","8","12","6","10","El número de patas de las arañas es 8.","1"
"¿Quién ganó el mundial de 2014?","Argentina","Colombia","Alemania","España","Alemania fue ganadora del mundial de Brasil en 2014.","3"
"¿Cuál es la moneda oficial de Estados Unidos?","Euro","Dolar","Libra Esterlinas","Peso","En Estados Unidos se utiliza el Dólar como moneda.","2"
"¿Cuánto vale el número pi?","3,1426","3,1636","3,1416","3,8526",El número pi equivale a 3,1416.","3"
"El triángulo que tiene sus tres lados iguales ¿Cómo se llama?","triángulo escaleno","triángulo equilátero","triángulo rectángulo","triángulo obtusángolo","Recibe el nombre de triángulo equilátero.","2"
"¿En qué país se usó la primera bomba atómica en combate?","Rusia","Estados Unidos","Japón","China","La primer bomba atómica cayó en Japón, concretamente en Hiroshima.","3"
"¿Cuántos años tiene un lustro?","8 años","5 años","3 años","2 años","Un lustro es un quinquenio, es decir, un periodo de 5 años.","2"
"¿Cuándo empezó la Primera Guerra Mundial?","1924","1944","1904","1914","El año de inicio de la Primera Guerra mundial es en 1914.","4"
